Model,Resampling,SNS,SNS STD,PRE,PRE STD,F1,F1 STD,SPC,SPC STD,GMN,GMN STD
AdaBoost,OSS,0.164905126,0.040383868,0.106533572,0.053469924,0.101920037,0.045392131,0.939380324,0.006297877,0.390471571,0.046967129
AdaBoost,TomL,0.224080753,0.003329635,0.185884257,0.007101159,0.171545931,0.004761573,0.928865338,0.000639285,0.456212961,0.003543335
Bagging,CluCen,0.784381781,0.011413215,0.825155059,0.005948668,0.794024084,0.00875679,0.990121113,0.000571674,0.881243289,0.00624665
Bagging,ConNN,0.232486447,0.039854736,0.274031923,0.041355363,0.214517157,0.044937634,0.957074147,0.003083227,0.469942199,0.041860909
Bagging,RUS,0.808569364,0.028038708,0.841034957,0.017634599,0.815563169,0.026973692,0.991062274,0.000668833,0.895049139,0.015722896
Bagging,NCR,0.881065649,0.0092957,0.875222653,0.008237529,0.873266421,0.011041432,0.992070244,0.000618682,0.934910044,0.005171386
Bagging,EdNN,0.872186772,0.009666957,0.864587423,0.009329475,0.862429538,0.009406538,0.991160377,0.000607031,0.929759224,0.005333376
Bagging,AllKNN,0.881629326,0.011796978,0.875958002,0.012214287,0.874604735,0.012377255,0.991956539,0.001010892,0.935149302,0.006697349
Bagging,ReEdNN,0.870006471,0.010486161,0.864090211,0.013165471,0.85881722,0.01122854,0.991119626,0.000729809,0.928574939,0.005820019
Bagging,IHT,0.718664292,0.029350677,0.808148679,0.017569396,0.746042753,0.026674708,0.988442058,0.001382524,0.842663153,0.017718047
Bagging,NearMiss,0.676900705,0.023213124,0.780216681,0.017876664,0.689101299,0.02455631,0.987210604,0.000599995,0.817341965,0.014136076
Bagging,OSS,0.595339193,0.011800426,0.626369913,0.016770414,0.55211321,0.02076537,0.974046159,0.002156213,0.761469377,0.007917995
Bagging,TomL,0.881494458,0.012472937,0.874666737,0.014634921,0.875200899,0.014128918,0.992323616,0.000932536,0.935248256,0.007029943
RandomForest,CluCen,0.562463228,0.021844445,0.643161158,0.010625271,0.577953754,0.019032519,0.977993912,0.000657703,0.741539784,0.014524519
RandomForest,ConNN,0.128288811,0.024412087,0.173347255,0.033673009,0.108234957,0.023166825,0.9567725,0.001858725,0.348599758,0.034439849
RandomForest,RUS,0.636754982,0.03135815,0.68796685,0.024211797,0.644506913,0.030388068,0.98030914,0.002388691,0.789860426,0.020213913
RandomForest,NCR,0.837989043,0.010731174,0.826420507,0.010669895,0.825054595,0.009434184,0.985957059,0.000876495,0.90895072,0.006165557
RandomForest,EdNN,0.83348017,0.00366644,0.819163695,0.011958039,0.81754554,0.005820243,0.984438557,0.000607569,0.905817374,0.001786182
RandomForest,AllKNN,0.830079196,0.008912155,0.821830978,0.014681572,0.818036064,0.010021096,0.984592605,0.001043578,0.904030145,0.005335412
RandomForest,ReEdNN,0.832367604,0.005862709,0.819715739,0.011182197,0.81705939,0.007082695,0.984769602,0.00114523,0.905363272,0.003633444
RandomForest,IHT,0.595286726,0.007559151,0.669476682,0.016993901,0.615228259,0.008230335,0.975066976,0.001407921,0.761856645,0.005345956
RandomForest,NearMiss,0.450580441,0.059201204,0.532226534,0.047525839,0.454723182,0.059536825,0.967720173,0.003534542,0.658963782,0.044848319
RandomForest,OSS,0.441122805,0.070557878,0.497910235,0.083685276,0.381916095,0.08351829,0.945704013,0.014486689,0.644021252,0.057366229
RandomForest,TomL,0.833605544,0.006999647,0.826159036,0.004746792,0.824361601,0.005861864,0.986254737,0.00060768,0.906715987,0.003948393
DMLP,CluCen,0.854289337,0.028087356,0.871036703,0.022795201,0.857610861,0.026960436,0.992465423,0.001263,0.920673106,0.015691681
DMLP,ConNN,0.240643893,0.020694971,0.336740756,0.047802901,0.225672455,0.019290808,0.958620957,0.006621754,0.479874667,0.020682598
DMLP,RUS,0.760084152,0.032967513,0.804838696,0.032034628,0.771368398,0.033886112,0.987687349,0.002367362,0.866255703,0.019755649
DMLP,NCR,0.91608124,0.008262712,0.916075088,0.009447226,0.912185603,0.009747254,0.995131988,0.000716351,0.954780288,0.004580022
DMLP,EdNN,0.910608215,0.010587351,0.90875358,0.010979372,0.904876917,0.01145021,0.994604272,0.0005543,0.951665378,0.005782667
DMLP,AllKNN,0.919760081,0.008331848,0.919690042,0.008514538,0.917102853,0.008720211,0.995185291,0.000855642,0.956721433,0.004700463
DMLP,ReEdNN,0.904591402,0.012012541,0.904271081,0.015140758,0.898534091,0.012192722,0.9944962,0.000669901,0.948460119,0.006562367
DMLP,IHT,0.696784046,0.027358684,0.785908599,0.016242621,0.719418137,0.020038225,0.985656427,0.001431521,0.828567681,0.016643541
DMLP,NearMiss,0.553627621,0.036233006,0.687403459,0.025358422,0.576019795,0.038590727,0.980455411,0.002760672,0.736385391,0.024468981
DMLP,OSS,0.672886483,0.064586964,0.691065021,0.069478467,0.661272194,0.068430474,0.979405187,0.003725002,0.810940585,0.04033044
DMLP,TomL,0.925352166,0.003333354,0.927550829,0.003467988,0.925323386,0.003004981,0.995979006,0.000391048,0.960014896,0.001821945
