Model,Resampling,Oversampling Quantity,SNS,SNS STD,PRE,PRE STD,F1,F1 STD,SPC,SPC STD,GMN,GMN STD
RandomForest,SVMSMOTE,90%,0.823209667,0.00370816,0.820775908,0.002352206,0.81920853,0.00318762,0.987308483,0.00017646,0.901530604,0.001949925
RandomForest,SVMSMOTE,100%,0.813936182,0.010769378,0.816122754,0.013645223,0.810565921,0.010861986,0.986804388,0.000478369,0.896193712,0.006146345
RandomForest,RandomOversampler,0%,0.805321419,0.010071624,0.797595717,0.011622635,0.795777316,0.011701411,0.982686046,0.001385882,0.889580666,0.006190178
RandomForest,RandomOversampler,10%,0.825978701,0.017351893,0.819025694,0.017339845,0.819076687,0.017513029,0.985838359,0.001031608,0.902330519,0.009951037
RandomForest,RandomOversampler,20%,0.82089724,0.003534423,0.815175198,0.003791864,0.814184582,0.004652856,0.985049642,0.0004597,0.89923387,0.002145687
RandomForest,RandomOversampler,30%,0.835536852,0.009711026,0.831172061,0.009151531,0.828964894,0.010152443,0.986877849,0.000995413,0.908047128,0.005735
RandomForest,RandomOversampler,40%,0.831284261,0.001090431,0.826002507,4.34327E-05,0.823905511,0.001121156,0.986216103,0.000291691,0.905442099,0.000459953
RandomForest,RandomOversampler,50%,0.831699145,0.003962317,0.827312855,0.007327816,0.825024667,0.006391758,0.986276039,0.001082059,0.905694309,0.002654255
RandomForest,RandomOversampler,60%,0.822393358,0.001248466,0.818018684,0.002480695,0.815498361,0.000175219,0.985281384,0.000164728,0.900160261,0.00075851
RandomForest,RandomOversampler,70%,0.822390217,0.003162608,0.814121172,0.002817037,0.813572488,0.002690781,0.98498085,0.001060167,0.90002059,0.002214938
RandomForest,RandomOversampler,80%,0.821996419,0.006817604,0.818675996,0.008829929,0.815090949,0.00819382,0.984835499,0.00105948,0.899733688,0.004215196
RandomForest,RandomOversampler,90%,0.827213035,0.019678228,0.822733383,0.019320396,0.819467155,0.021755447,0.984195226,0.002620665,0.902246234,0.01193414
RandomForest,RandomOversampler,100%,0.840864395,0.006848561,0.834492666,0.009582111,0.833187622,0.008971847,0.986956919,3.84265E-05,0.910979164,0.003692139
RandomForest,SMOTETomek,0%,0.817487428,0.00858762,0.809368347,0.008867691,0.808930036,0.008798541,0.98442909,0.000620242,0.897072342,0.004994548
RandomForest,SMOTETomek,10%,0.818000229,0.012193601,0.815564691,0.008349643,0.812912091,0.010812792,0.984863108,0.002050892,0.897543939,0.007624506
RandomForest,SMOTETomek,20%,0.832375813,0.000275019,0.829294419,0.000621144,0.828595968,0.000172941,0.987194578,0.000392177,0.906486011,0.00032981
RandomForest,SMOTETomek,30%,0.832228546,0.006701293,0.832038236,0.005928102,0.828613936,0.006459738,0.986954458,0.00143832,0.90629065,0.004309259
RandomForest,SMOTETomek,40%,0.820365147,0.01255734,0.819137143,0.014691717,0.816940646,0.013115224,0.985933809,0.001081192,0.89932469,0.007376467
RandomForest,SMOTETomek,50%,0.80696974,0.014722947,0.810869541,0.018082942,0.805459653,0.016164387,0.984464194,0.002791644,0.891283149,0.009394875
RandomForest,SMOTETomek,60%,0.825551704,0.007096885,0.826379495,0.008441523,0.822230425,0.007807001,0.986315585,0.000378925,0.902352914,0.004051957
RandomForest,SMOTETomek,70%,0.823656853,0.018852048,0.827267162,0.022392165,0.821675295,0.020636101,0.985841439,0.002695572,0.901061923,0.011544909
RandomForest,SMOTETomek,80%,0.817473969,0.000384152,0.818673481,0.003888157,0.815147981,0.001631736,0.985599371,0.000759853,0.897608941,0.000556913
RandomForest,SMOTETomek,90%,0.818983098,0.003531282,0.820882549,0.008978654,0.816454003,0.005205018,0.986889848,0.000604114,0.899023548,0.002213371
RandomForest,SMOTETomek,100%,0.820071061,2.17593E-05,0.822438272,0.00459155,0.8179633,0.00172409,0.986174037,9.70081E-05,0.899295716,3.23004E-05
RandomForest,SMOTEENN,0%,0.811621512,0.016644717,0.804039072,0.017968896,0.803731347,0.01745726,0.983701378,0.001834155,0.893489683,0.009995678
RandomForest,SMOTEENN,10%,0.805168768,0.000363963,0.801608721,0.000199061,0.799027782,0.000768285,0.98321616,0.000691274,0.889749785,0.000111682
RandomForest,SMOTEENN,20%,0.818295662,0.001205845,0.820949915,0.006984935,0.815028959,0.002648811,0.985795652,0.000164646,0.898149187,0.000736763
RandomForest,SMOTEENN,30%,0.813233043,0.001126771,0.815906186,0.002603222,0.810755975,0.000388168,0.985664526,5.26705E-05,0.89530699,0.000644165
RandomForest,SMOTEENN,40%,0.796286389,0.003220596,0.797659108,0.004269516,0.792276663,0.003607689,0.982810401,0.000164067,0.884644337,0.001862827
RandomForest,SMOTEENN,50%,0.802995533,0.009110739,0.807696543,0.011510891,0.801617955,0.009796468,0.984314641,0.000625646,0.889031829,0.005326145
