Model,Resampling,Oversampling Quantity,SNS,SNS STD,PRE,PRE STD,F1,F1 STD,SPC,SPC STD,GMN,GMN STD
BNB,BorderlineSMOTE-1,70%,0.812824032,0.005616557,0.83342558,0.00729553,0.812804923,0.005878616,0.990240715,0.000580372,0.897152631,0.003275928
BNB,BorderlineSMOTE-1,80%,0.806945326,0.006945415,0.830712539,0.007112508,0.807065198,0.007498973,0.990009877,0.000666871,0.893795875,0.004113021
BNB,BorderlineSMOTE-1,90%,0.800519611,0.006852427,0.82615702,0.008743066,0.800676508,0.007304063,0.989704565,0.00073303,0.890093055,0.004126592
BNB,BorderlineSMOTE-1,100%,0.794639877,0.008177104,0.81935873,0.008741442,0.794316031,0.008751066,0.98928374,0.00086776,0.88662649,0.004909953
BNB,BorderlineSMOTE-2,0%,0.874487331,0.004377374,0.882268154,0.004764661,0.874310159,0.004800021,0.993540401,0.000624411,0.932112562,0.002523767
BNB,BorderlineSMOTE-2,10%,0.868198415,0.005515675,0.878544826,0.006366074,0.868151158,0.006238986,0.993347036,0.000549226,0.928662845,0.003151657
BNB,BorderlineSMOTE-2,20%,0.858081,0.003978577,0.870916663,0.003114624,0.858298379,0.004129718,0.99281128,0.000420879,0.922988676,0.002199186
BNB,BorderlineSMOTE-2,30%,0.847690829,0.005786547,0.86379494,0.005122653,0.848611131,0.005235931,0.992284759,0.000366808,0.917137677,0.003228115
BNB,BorderlineSMOTE-2,40%,0.837298787,0.002565305,0.853854023,0.004335283,0.838084571,0.002305899,0.991614113,0.000381329,0.911194647,0.001532823
BNB,BorderlineSMOTE-2,50%,0.826908055,0.003794334,0.846681438,0.006590934,0.828163478,0.004456655,0.991156345,0.000539471,0.905312973,0.002271664
BNB,BorderlineSMOTE-2,60%,0.81993449,0.003548077,0.840668855,0.006198548,0.820773436,0.003390545,0.990798659,0.000412177,0.90132493,0.002078274
BNB,BorderlineSMOTE-2,70%,0.812824032,0.005616557,0.83342558,0.00729553,0.812804923,0.005878616,0.990240715,0.000580372,0.897152631,0.003275928
BNB,BorderlineSMOTE-2,80%,0.806945326,0.006945415,0.830712539,0.007112508,0.807065198,0.007498973,0.990009877,0.000666871,0.893795875,0.004113021
BNB,BorderlineSMOTE-2,90%,0.800519611,0.006852427,0.82615702,0.008743066,0.800676508,0.007304063,0.989704565,0.00073303,0.890093055,0.004126592
BNB,BorderlineSMOTE-2,100%,0.794639877,0.008177104,0.81935873,0.008741442,0.794316031,0.008751066,0.98928374,0.00086776,0.88662649,0.004909953
BNB,SMOTETomek,0%,0.874487331,0.004377374,0.882268154,0.004764661,0.874310159,0.004800021,0.993540401,0.000624411,0.932112562,0.002523767
BNB,SMOTETomek,10%,0.875170578,0.00545177,0.882885338,0.004954714,0.875411823,0.005952536,0.99354536,0.000662997,0.932477656,0.003148304
BNB,SMOTETomek,20%,0.875034059,0.005443508,0.881099705,0.006323771,0.874735867,0.006329927,0.993439873,0.000689627,0.932355486,0.003163919
BNB,SMOTETomek,30%,0.875033872,0.005000757,0.881497296,0.006186985,0.874788306,0.006073042,0.993375971,0.000655117,0.932326154,0.00296931
BNB,SMOTETomek,40%,0.875580881,0.004600661,0.883329807,0.006124661,0.875753687,0.005795747,0.993447547,0.000744546,0.932651652,0.00276649
BNB,SMOTETomek,50%,0.873119623,0.004619319,0.879502747,0.005608697,0.872817501,0.005563097,0.993254912,0.000715115,0.931249476,0.002755014
BNB,SMOTETomek,60%,0.874486677,0.007329226,0.881863746,0.007160481,0.874829579,0.007854153,0.99339156,0.000729618,0.932037926,0.004196479
BNB,SMOTETomek,70%,0.873666444,0.004968306,0.880907014,0.005008169,0.873915772,0.005616314,0.993324012,0.000652059,0.931572946,0.002910652
BNB,SMOTETomek,80%,0.873393782,0.005364844,0.8807952,0.006688796,0.873672605,0.006444584,0.99330243,0.000710648,0.931416882,0.003131352
BNB,SMOTETomek,90%,0.872435722,0.004292397,0.881022469,0.003676742,0.873070242,0.004440583,0.993362906,0.000562016,0.930935459,0.002480457
BNB,SMOTETomek,100%,0.872572614,0.005388037,0.881217895,0.004600898,0.873158085,0.005603771,0.993344802,0.00055745,0.930998558,0.003072773
BNB,SMOTEENN,0%,0.874487331,0.004377374,0.882268154,0.004764661,0.874310159,0.004800021,0.993540401,0.000624411,0.932112562,0.002523767
BNB,SMOTEENN,10%,0.874076561,0.00284007,0.885262423,0.003617372,0.876116456,0.003498378,0.993798295,0.000546185,0.93201595,0.001628495
BNB,SMOTEENN,20%,0.87421336,0.004315499,0.884900786,0.007086411,0.875932602,0.005557221,0.993847417,0.000676114,0.932110865,0.002599049
BNB,SMOTEENN,30%,0.873393034,0.003512838,0.884249096,0.005315616,0.875253265,0.004482183,0.993740345,0.000588972,0.931624027,0.0021448
BNB,SMOTEENN,40%,0.873803524,0.003170404,0.885353711,0.00476088,0.875746252,0.003955836,0.993813293,0.00068196,0.931877236,0.001880597
BNB,SMOTEENN,50%,0.871752475,0.00270148,0.882288575,0.005149336,0.873331444,0.003797752,0.99362313,0.000733892,0.930694439,0.001763102
BNB,SMOTEENN,60%,0.872162779,0.004876863,0.883401089,0.005642286,0.874047329,0.005528804,0.993723786,0.000693147,0.930958222,0.002833113
BNB,SMOTEENN,70%,0.871888807,0.0043148,0.882508195,0.005285556,0.873367802,0.004990578,0.993657378,0.000683911,0.930781681,0.002566595
BNB,SMOTEENN,80%,0.872162872,0.004216541,0.883374449,0.00585768,0.873914818,0.005111929,0.993630349,0.000709544,0.930915269,0.002461727
BNB,SMOTEENN,90%,0.872025606,0.003650556,0.883222017,0.004546204,0.873896428,0.004146498,0.993660044,0.000645797,0.930856585,0.002181546
BNB,SMOTEENN,100%,0.872435909,0.003801198,0.8831805,0.004422711,0.873885662,0.004387926,0.993607568,0.000573651,0.931050868,0.002271179
BNB,SVMSMOTE,0%,0.874487331,0.004377374,0.882268154,0.004764661,0.874310159,0.004800021,0.993540401,0.000624411,0.932112562,0.002523767
BNB,SVMSMOTE,10%,0.870795538,0.003095347,0.879124575,0.002917984,0.870240303,0.003350181,0.993465377,0.00051537,0.930108991,0.001759685
BNB,SVMSMOTE,20%,0.867241197,0.002699327,0.877225725,0.002453907,0.86680332,0.002949614,0.993294537,0.000439782,0.928129269,0.001503047
BNB,SVMSMOTE,30%,0.868198041,0.001453316,0.876571766,0.002836143,0.86654189,0.002269988,0.993158698,0.000586626,0.928578266,0.000720438
BNB,SVMSMOTE,40%,0.866693908,0.003091515,0.875222332,0.002329874,0.865127425,0.003783571,0.993101574,0.000435527,0.927745977,0.001751308
BNB,SVMSMOTE,50%,0.864370664,0.00464133,0.874728291,0.003934652,0.863470205,0.004776874,0.993078164,0.000389251,0.92648899,0.002577618
BNB,SVMSMOTE,60%,0.862592746,0.00271135,0.871756746,0.002714176,0.860958327,0.002576532,0.992913829,0.000427365,0.925460974,0.001435117
BNB,SVMSMOTE,70%,0.864368981,0.002723109,0.873275122,0.004158396,0.862141228,0.003794335,0.992918581,0.000487776,0.926415788,0.001600432
BNB,SVMSMOTE,80%,0.863139568,0.00177423,0.873142443,0.003057679,0.861547238,0.002063277,0.993002031,0.000451851,0.925795977,0.000863751
BNB,SVMSMOTE,90%,0.859584012,0.002838829,0.870563441,0.003395034,0.8581254,0.003508294,0.992677022,0.000426779,0.923735577,0.001687383
BNB,SVMSMOTE,100%,0.85958476,0.003404009,0.866492003,0.004718754,0.856415296,0.003418504,0.992563141,0.000519248,0.92368241,0.001963871
BNB,SWIM-Maha,0%,0.874487331,0.004377374,0.882268154,0.004764661,0.874310159,0.004800021,0.993540401,0.000624411,0.932112562,0.002523767
BNB,SWIM-Maha,10%,0.85466706,0.002906208,0.857424535,0.003890223,0.850337695,0.003110676,0.99228809,0.000409351,0.920909361,0.001755686
BNB,SWIM-Maha,20%,0.851931673,0.002354824,0.849140621,0.002637326,0.845422295,0.002102181,0.992023143,0.000406855,0.919312115,0.001459054
BNB,SWIM-Maha,30%,0.851803249,0.007413404,0.844741608,0.004079298,0.84343008,0.006816003,0.991441268,0.000561794,0.918966221,0.004259402
BNB,SWIM-Maha,40%,0.850572953,0.00754811,0.842171782,0.003547103,0.839579104,0.007449293,0.991042639,0.000464423,0.91811719,0.004288954
BNB,SWIM-Maha,50%,0.856591072,0.008925225,0.846363696,0.006943603,0.844677692,0.009282793,0.991212518,0.000676731,0.921435657,0.005115103
BNB,SWIM-Maha,60%,0.855772071,0.009744225,0.845288441,0.008800948,0.84359292,0.00987578,0.991145157,0.000683999,0.920961499,0.005561193
BNB,SWIM-Maha,70%,0.855776109,0.012205266,0.845568548,0.011641141,0.843643036,0.012648641,0.99114102,0.000883713,0.920954339,0.006978305
BNB,SWIM-Maha,80%,0.854955314,0.011930471,0.845292551,0.010016936,0.842532662,0.012260228,0.991095307,0.000837504,0.920492147,0.006811716
BNB,SWIM-Maha,90%,0.854952622,0.010289777,0.845977356,0.008483698,0.842883631,0.010748636,0.99109206,0.000726206,0.920494265,0.005876728
BNB,SWIM-Maha,100%,0.855906328,0.008240481,0.846728169,0.007170646,0.843419959,0.00865983,0.991146478,0.000613474,0.921038181,0.004718914
LDA,RandomOversampler,0%,0.91194966,0.004155951,0.917129098,0.004692305,0.912970287,0.004382425,0.995229281,0.000398082,0.952677747,0.00231967
LDA,RandomOversampler,10%,0.909625201,0.003104397,0.917201603,0.002843881,0.911616346,0.002829615,0.995407243,0.000259898,0.951548802,0.001704611
LDA,RandomOversampler,20%,0.907301303,0.004086709,0.918441531,0.003290546,0.910197688,0.003689475,0.995598226,0.000279295,0.950422613,0.002181298
LDA,RandomOversampler,30%,0.905523571,0.002538442,0.92074274,0.003095688,0.909567437,0.002463069,0.995895083,0.000253303,0.949634088,0.001414616
LDA,RandomOversampler,40%,0.903609322,0.002636659,0.919960915,0.002871909,0.907973875,0.002653365,0.995923864,0.00028565,0.948643449,0.0014728
LDA,RandomOversampler,50%,0.902926075,0.002693206,0.921494893,0.001893206,0.907946565,0.002429382,0.996046404,0.000134915,0.948342897,0.001410709
LDA,RandomOversampler,60%,0.903062874,0.002373223,0.922242523,0.003085832,0.908138001,0.00226888,0.996037854,0.000256264,0.948410867,0.001226443
LDA,RandomOversampler,70%,0.90046463,0.00308261,0.921425089,0.002086013,0.905863198,0.002728954,0.996041167,0.000178096,0.947046589,0.001632734
LDA,RandomOversampler,80%,0.900601616,0.001759429,0.921238433,0.002483967,0.906047964,0.001576242,0.996041776,0.000200307,0.947119808,0.000909041
LDA,RandomOversampler,90%,0.901968576,0.002478241,0.923391484,0.002454705,0.90741244,0.001932538,0.996171091,0.000188595,0.947899473,0.001341385
LDA,RandomOversampler,100%,0.901148625,0.003039885,0.922139578,0.002463058,0.906692151,0.002959281,0.996118177,0.000109058,0.947442912,0.001633437
LDA,SMOTE,0%,0.91194966,0.004155951,0.917129098,0.004692305,0.912970287,0.004382425,0.995229281,0.000398082,0.952677747,0.00231967
LDA,SMOTE,10%,0.910172584,0.005916445,0.918277813,0.004687177,0.912348398,0.005552123,0.995453581,0.000331795,0.951853792,0.003206853
LDA,SMOTE,20%,0.908531277,0.003197369,0.919565794,0.002601976,0.911372298,0.002920198,0.995686601,0.000277865,0.951109782,0.001739126
LDA,SMOTE,30%,0.906481444,0.003504431,0.920400803,0.002485722,0.910147442,0.003525864,0.995826763,0.00022491,0.950102694,0.001848408
LDA,SMOTE,40%,0.904430022,0.004413566,0.920747057,0.002815487,0.908548366,0.0036828,0.995911245,0.000220708,0.94906622,0.002319952
LDA,SMOTE,50%,0.904702871,0.002409157,0.921782979,0.001291387,0.909241688,0.002297234,0.996019187,0.000122089,0.949262821,0.00129778
LDA,SMOTE,60%,0.902925608,0.002086783,0.922606026,0.002284952,0.908042871,0.002125181,0.996106842,0.000167441,0.948371929,0.00116372
LDA,SMOTE,70%,0.903335817,0.001132261,0.922881094,0.002478766,0.908556465,0.001337658,0.99614054,0.000222029,0.94860381,0.000698384
LDA,SMOTE,80%,0.904156798,0.001675005,0.924209884,0.002327582,0.909423203,0.001226734,0.99617858,0.000148107,0.949052578,0.000845881
LDA,SMOTE,90%,0.903609135,0.001696505,0.924778496,0.002478303,0.909105352,0.001695546,0.996246112,0.000182433,0.948797364,0.000976029
LDA,SMOTE,100%,0.901284956,0.002763528,0.923991248,0.00254729,0.90708003,0.002297365,0.996157063,0.000134997,0.947533267,0.001464719
LDA,BorderlineSMOTE-1,0%,0.91194966,0.004155951,0.917129098,0.004692305,0.912970287,0.004382425,0.995229281,0.000398082,0.952677747,0.00231967
LDA,BorderlineSMOTE-1,10%,0.902925795,0.002371815,0.92114254,0.00227642,0.907134093,0.002312721,0.996114155,0.000202005,0.948375355,0.00133006
LDA,BorderlineSMOTE-1,20%,0.902516333,0.004365796,0.922653319,0.003555224,0.906629168,0.004284786,0.996237055,0.000191405,0.948216882,0.002364825
